id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
62000,urban,3,0.14,60,daylight,clear,False,False,morning,True,False,N/A,0.22
62001,urban,2,0.51,25,daylight,clear,True,False,evening,True,False,0,0.21
62002,highway,1,0.36,70,daylight,clear,False,True,afternoon,True,True,0,0.28
62003,urban,1,0.71,25,dim,foggy,False,True,afternoon,True,True,2,0.25
62004,highway,3,0.31,35,daylight,rainy,True,False,morning,False,True,2,0.17
62005,rural,4,0.64,N/A,night,foggy,False,True,morning,False,True,0,0.68
62006,urban,N/A,0.85,60,night,rainy,False,False,afternoon,True,True,1,0.77
62007,urban,4,0.51,70,night,foggy,True,False,morning,True,True,1,0.54
62008,rural,3,0.77,25,night,clear,True,True,afternoon,True,True,3,0.49
62009,rural,4,0.66,45,daylight,clear,True,True,evening,False,False,1,0.16
62010,urban,3,0.13,70,daylight,clear,True,False,evening,True,False,N/A,0.21
62011,highway,4,N/A,35,dim,rainy,False,True,morning,True,True,2,0.14
62012,rural,3,0.35,70,daylight,rainy,False,False,evening,False,True,2,0.42
62013,rural,4,0.1,25,daylight,foggy,False,False,afternoon,False,True,1,0.17
62014,highway,2,0.11,45,daylight,rainy,True,False,afternoon,False,False,1,0.19
62015,rural,3,0.69,45,dim,foggy,True,True,morning,False,False,1,0.32
62016,urban,1,0.84,25,night,clear,True,True,morning,False,False,2,0.51
62017,highway,3,0.09,25,daylight,clear,True,True,afternoon,False,True,1,0.03
62018,urban,2,0.84,25,dim,rainy,False,True,afternoon,True,True,1,0.33
62019,urban,1,0.8,60,night,clear,True,False,morning,True,False,N/A,0.53
62020,rural,2,0.92,25,dim,rainy,False,False,evening,True,False,2,0.37
62021,urban,2,0.54,35,daylight,foggy,False,False,morning,True,False,1,0.35
62022,highway,2,0.7,70,night,clear,False,True,evening,False,True,1,0.51
62023,rural,3,0.36,70,dim,rainy,False,False,afternoon,False,False,1,0.48
62024,urban,N/A,0.51,35,daylight,rainy,False,True,afternoon,False,True,0,0.26
62025,urban,4,0.4,70,dim,rainy,False,False,evening,True,True,1,0.3
62026,urban,2,0.78,60,night,clear,False,False,afternoon,False,True,2,0.61
62027,rural,3,0.7,25,night,foggy,True,False,morning,True,True,2,0.42
62028,urban,4,0.7,70,night,foggy,False,False,morning,False,True,0,0.71
62029,highway,4,0.36,45,night,rainy,False,False,morning,True,False,0,0.32
62030,rural,4,0.0,25,night,clear,True,True,afternoon,False,True,3,0.2
62031,urban,N/A,0.57,70,daylight,clear,False,True,morning,False,False,1,0.41
62032,rural,3,0.8,60,dim,foggy,False,False,evening,False,True,0,0.45
62033,highway,4,0.09,25,night,clear,True,False,morning,False,True,1,0.25
62034,urban,4,0.31,35,night,clear,True,True,afternoon,False,True,0,0.43
62035,rural,1,0.46,45,dim,rainy,False,True,evening,True,True,1,0.25
62036,highway,3,0.93,70,dim,foggy,False,True,evening,True,True,2,0.54
62037,highway,3,0.3,N/A,daylight,clear,True,True,morning,False,False,1,0.04
62038,urban,1,N/A,25,night,foggy,False,True,afternoon,True,False,2,0.3
62039,highway,2,0.57,N/A,daylight,clear,True,False,morning,True,True,1,0.4
62040,rural,2,0.19,70,dim,rainy,False,True,afternoon,False,False,0,0.32
62041,rural,4,0.66,45,night,foggy,False,True,evening,False,False,1,0.52
62042,urban,1,0.22,70,dim,clear,True,False,morning,False,False,2,0.22
62043,rural,1,0.98,60,daylight,clear,False,True,morning,True,True,2,0.49
62044,rural,1,0.85,N/A,night,clear,True,False,morning,True,False,N/A,0.55
62045,urban,1,0.6,60,dim,rainy,False,False,morning,False,False,2,0.45
62046,rural,3,0.67,25,night,rainy,True,True,morning,False,True,N/A,0.52
62047,urban,2,N/A,25,dim,clear,False,False,morning,False,False,0,0.27
62048,urban,2,0.36,45,night,rainy,False,True,afternoon,True,False,1,0.38
62049,highway,4,0.17,N/A,daylight,rainy,True,False,evening,True,False,1,0.32
62050,rural,2,0.96,60,daylight,foggy,True,False,evening,True,True,3,0.61
62051,rural,3,0.7,35,daylight,foggy,True,False,afternoon,True,True,1,0.39
62052,rural,3,0.82,45,night,foggy,True,False,afternoon,False,False,2,0.55
62053,rural,3,0.49,60,dim,foggy,False,True,morning,True,True,1,0.39
62054,urban,N/A,0.61,25,daylight,clear,True,True,morning,True,False,1,0.3
62055,urban,4,0.21,25,night,foggy,False,False,afternoon,False,True,0,0.44
62056,rural,1,0.35,45,night,clear,False,True,morning,False,False,2,0.3
62057,urban,3,0.63,45,dim,foggy,False,True,morning,True,False,1,0.27
62058,highway,2,N/A,45,daylight,clear,False,False,evening,True,False,0,0.17
62059,rural,2,0.38,35,dim,foggy,True,False,evening,True,False,1,0.24
62060,rural,4,0.55,45,night,foggy,False,False,afternoon,False,False,N/A,0.43
62061,rural,2,0.68,25,daylight,rainy,False,True,morning,True,True,0,0.27
62062,highway,1,0.02,70,dim,clear,True,False,evening,True,True,1,0.29
62063,rural,4,0.76,35,daylight,clear,True,False,morning,False,False,0,0.28
62064,highway,2,0.21,60,dim,clear,False,True,afternoon,True,True,2,0.21
62065,rural,2,0.65,60,daylight,clear,False,False,evening,True,True,1,0.37
62066,rural,4,0.57,25,night,clear,True,False,evening,True,False,2,0.27
62067,urban,3,0.1,45,night,rainy,False,False,morning,False,False,2,0.33
62068,rural,3,0.48,45,night,rainy,False,True,morning,True,False,1,0.4
62069,urban,4,0.24,N/A,dim,rainy,True,True,evening,True,False,2,0.26
62070,rural,1,0.54,45,night,clear,True,False,afternoon,True,False,N/A,0.4
62071,urban,2,0.36,45,night,rainy,False,True,morning,True,False,1,0.33
62072,highway,2,N/A,45,night,clear,True,False,evening,False,False,1,0.42
62073,rural,4,0.14,25,daylight,foggy,False,True,evening,False,True,2,0.21
62074,rural,1,0.25,70,dim,clear,False,False,evening,False,True,N/A,0.26
62075,urban,4,N/A,45,night,rainy,True,False,evening,False,False,N/A,0.39
62076,urban,1,0.02,25,daylight,foggy,True,True,afternoon,True,False,0,0.22
62077,urban,1,0.14,25,daylight,rainy,True,True,afternoon,True,True,2,0.14
62078,urban,3,0.67,N/A,dim,clear,False,True,morning,True,True,0,0.21
62079,rural,1,0.57,60,daylight,rainy,False,True,morning,False,True,2,0.48
62080,rural,2,0.81,45,daylight,clear,True,False,morning,False,False,2,0.27
62081,rural,4,0.84,60,daylight,rainy,True,True,evening,True,True,2,0.49
62082,rural,4,N/A,35,dim,clear,False,True,morning,False,True,1,0.06
62083,urban,3,0.85,35,dim,foggy,True,False,afternoon,True,False,0,0.4
62084,urban,3,0.74,25,night,clear,False,False,morning,True,False,0,0.37
62085,highway,3,0.28,25,dim,rainy,True,False,afternoon,True,True,0,0.14
62086,rural,1,0.67,35,dim,rainy,True,True,evening,True,False,3,0.43
62087,highway,1,0.45,45,daylight,clear,False,True,morning,True,False,2,0.13
62088,rural,3,0.66,70,night,clear,True,False,morning,True,True,0,0.6
62089,urban,2,0.63,35,daylight,rainy,True,True,afternoon,True,False,2,0.36
62090,urban,N/A,0.97,25,night,clear,False,True,morning,False,False,3,0.59
62091,urban,N/A,0.56,60,daylight,rainy,False,True,morning,False,False,0,0.54
62092,highway,4,0.37,25,night,foggy,True,False,morning,True,False,2,0.41
62093,rural,4,0.4,35,dim,foggy,True,True,evening,False,True,0,0.2
62094,highway,3,0.7,25,dim,foggy,False,False,morning,False,True,1,0.28
62095,rural,3,N/A,35,daylight,clear,True,False,morning,True,False,1,0.09
62096,highway,2,0.34,70,dim,rainy,True,False,afternoon,False,False,2,0.34
62097,rural,1,0.43,45,daylight,clear,False,False,evening,True,False,N/A,0.07
62098,highway,3,0.45,25,dim,rainy,False,False,evening,True,False,1,0.25
62099,rural,1,0.67,25,dim,clear,True,True,evening,True,False,1,0.28
62100,rural,3,0.16,25,night,clear,True,False,evening,False,False,N/A,0.23
62101,rural,4,0.33,N/A,night,rainy,True,False,afternoon,True,False,1,0.38
62102,rural,N/A,0.02,35,daylight,clear,False,False,evening,True,False,2,0.09
62103,urban,4,0.07,70,daylight,foggy,False,False,afternoon,False,False,1,0.31
62104,urban,1,0.56,35,daylight,clear,False,False,evening,False,False,2,0.19
62105,rural,4,0.51,35,dim,foggy,True,False,afternoon,False,False,0,0.28
62106,highway,2,0.27,25,night,clear,False,False,afternoon,False,True,2,0.31
62107,rural,2,N/A,60,daylight,rainy,True,False,evening,True,True,0,0.51
62108,highway,2,0.57,60,daylight,clear,True,False,morning,True,True,1,0.44
62109,rural,4,0.4,25,dim,foggy,True,False,afternoon,False,False,2,0.27
62110,urban,2,0.62,45,daylight,foggy,True,False,afternoon,True,True,0,0.36
62111,rural,1,0.73,35,dim,rainy,True,False,morning,True,False,2,0.36
62112,urban,4,0.25,60,night,clear,False,True,evening,False,False,1,0.45
62113,rural,2,0.58,45,night,foggy,True,True,evening,True,True,0,0.49
62114,rural,N/A,0.68,60,dim,rainy,True,False,evening,False,True,0,0.47
62115,rural,3,0.17,70,daylight,clear,True,True,morning,False,False,0,0.17
62116,highway,1,0.23,45,daylight,rainy,True,True,morning,False,True,1,0.23
62117,urban,3,0.52,60,dim,rainy,True,True,evening,False,False,1,0.55
62118,highway,3,0.29,60,night,clear,True,True,morning,False,True,0,0.48
62119,urban,4,0.93,60,dim,foggy,True,False,evening,True,False,0,0.61
62120,highway,2,0.88,25,daylight,clear,True,True,evening,True,True,0,0.35
62121,urban,2,0.19,70,dim,foggy,True,True,afternoon,False,True,1,0.2
62122,urban,4,0.67,60,night,rainy,True,False,afternoon,True,False,1,0.67
62123,rural,2,0.22,60,night,clear,False,False,afternoon,True,False,2,0.52
62124,rural,1,0.15,25,daylight,clear,False,False,morning,False,True,0,0.08
62125,urban,3,0.15,45,dim,foggy,False,False,afternoon,True,True,1,0.09
62126,highway,1,0.57,25,night,foggy,True,False,evening,False,True,2,0.47
62127,urban,2,0.95,45,night,clear,True,True,afternoon,True,True,1,0.49
62128,rural,4,0.43,45,night,clear,False,True,afternoon,False,True,1,0.42
62129,rural,1,0.54,70,daylight,clear,True,False,morning,False,False,1,0.4
62130,highway,3,0.04,N/A,daylight,rainy,False,False,evening,False,False,1,0.19
62131,urban,1,0.37,60,daylight,rainy,True,True,afternoon,False,True,2,0.39
62132,highway,N/A,0.75,35,night,rainy,True,True,morning,False,False,3,0.74
62133,urban,2,0.86,25,dim,rainy,False,False,morning,True,False,1,0.36
62134,urban,4,0.43,35,daylight,foggy,True,False,evening,False,False,1,0.27
62135,rural,2,N/A,25,night,clear,True,False,afternoon,False,True,2,0.46
62136,rural,3,N/A,70,dim,rainy,True,False,morning,True,True,3,0.76
62137,highway,1,0.25,35,night,rainy,False,False,evening,False,False,1,0.39
62138,highway,1,0.52,70,dim,foggy,True,True,morning,True,True,2,0.37
62139,rural,4,0.34,25,daylight,rainy,True,False,evening,False,False,1,0.08
62140,urban,1,0.84,60,daylight,foggy,False,True,morning,True,False,0,0.51
62141,rural,1,0.5,N/A,daylight,clear,True,True,afternoon,True,True,1,0.13
62142,highway,1,0.64,N/A,daylight,rainy,False,False,evening,False,True,0,0.3
62143,urban,4,0.22,70,dim,foggy,False,True,afternoon,False,False,0,0.28
62144,urban,3,0.69,35,daylight,clear,True,True,morning,False,True,0,0.22
62145,highway,4,0.75,35,daylight,foggy,True,True,afternoon,True,False,1,0.3
62146,highway,N/A,0.19,70,daylight,clear,True,False,evening,False,True,2,0.26
62147,rural,3,0.17,70,daylight,foggy,False,True,morning,True,True,1,0.33
62148,highway,2,0.14,70,dim,clear,False,True,evening,False,False,1,0.22
62149,rural,3,0.43,N/A,dim,foggy,True,False,afternoon,True,False,2,0.28
62150,highway,3,0.82,60,dim,foggy,False,True,morning,False,False,N/A,0.51
62151,urban,3,0.7,70,daylight,foggy,False,False,evening,True,True,1,0.59
62152,urban,4,0.61,35,night,clear,True,True,morning,False,True,1,0.3
62153,urban,4,0.88,35,dim,clear,False,True,afternoon,True,False,0,0.32
62154,urban,2,0.32,35,dim,clear,False,True,evening,True,True,2,0.19
62155,highway,3,0.21,60,daylight,foggy,True,False,afternoon,False,True,N/A,0.2
62156,rural,3,0.7,60,daylight,foggy,True,False,afternoon,False,True,1,0.47
62157,rural,3,N/A,25,night,clear,True,True,afternoon,False,True,0,0.29
62158,highway,N/A,0.4,35,daylight,clear,False,True,afternoon,False,False,2,0.13
62159,highway,4,0.88,N/A,dim,rainy,True,False,afternoon,True,False,3,0.62
62160,highway,3,0.8,45,daylight,rainy,True,False,morning,True,False,3,0.45
62161,highway,1,0.73,45,dim,rainy,True,True,morning,False,True,3,0.4
62162,highway,3,0.3,70,dim,clear,True,True,evening,True,True,1,0.27
62163,rural,3,0.65,70,daylight,foggy,True,False,afternoon,False,False,2,0.57
62164,rural,1,0.78,60,night,rainy,True,True,morning,True,False,1,0.77
62165,rural,2,0.85,70,night,clear,True,True,evening,False,False,0,0.76
62166,urban,3,N/A,25,night,foggy,False,False,morning,True,True,2,0.48
62167,rural,3,0.49,70,dim,rainy,False,True,afternoon,True,False,0,0.38
62168,highway,1,0.3,45,daylight,rainy,True,False,evening,False,True,2,0.25
62169,rural,1,0.63,35,daylight,rainy,False,False,evening,False,False,1,0.26
62170,urban,3,0.0,45,night,rainy,True,False,afternoon,True,False,2,0.2
62171,highway,4,0.6,25,dim,clear,True,True,morning,False,False,0,0.16
62172,rural,1,0.72,60,night,rainy,False,True,afternoon,True,False,3,0.91
62173,highway,3,0.06,35,night,clear,True,True,morning,True,False,1,0.22
62174,highway,4,0.39,25,dim,clear,True,True,afternoon,True,False,2,0.05
62175,highway,4,0.39,60,daylight,rainy,False,True,afternoon,False,True,1,0.45
62176,highway,3,0.41,45,night,clear,False,False,morning,False,True,1,0.36
62177,urban,3,0.68,35,daylight,rainy,False,False,morning,True,True,2,0.34
62178,urban,1,0.4,45,dim,rainy,True,False,morning,False,False,1,0.24
62179,rural,1,0.85,25,daylight,rainy,True,False,morning,False,True,2,0.31
62180,highway,3,0.84,N/A,night,rainy,False,False,afternoon,True,False,1,0.54
62181,highway,2,0.4,60,daylight,clear,False,True,afternoon,True,False,2,0.32
62182,rural,1,0.68,45,dim,foggy,False,False,morning,True,False,1,0.32
62183,highway,4,N/A,N/A,dim,rainy,True,True,evening,True,True,0,0.13
62184,urban,2,0.82,45,dim,clear,False,False,evening,False,True,0,0.27
62185,rural,1,0.81,60,dim,foggy,True,True,morning,False,True,N/A,0.66
62186,urban,3,0.59,70,dim,foggy,False,False,afternoon,False,True,1,0.53
62187,rural,1,0.89,45,dim,foggy,False,False,afternoon,True,True,2,0.32
62188,highway,1,0.3,60,daylight,clear,False,True,morning,False,False,N/A,0.26
62189,highway,1,0.78,70,dim,foggy,True,True,evening,True,False,0,0.58
62190,highway,2,0.53,N/A,daylight,clear,False,True,afternoon,True,False,1,0.13
62191,highway,3,0.07,35,daylight,foggy,True,False,afternoon,True,False,2,0.06
62192,highway,1,0.23,70,dim,rainy,False,True,afternoon,False,False,1,0.32
62193,urban,N/A,0.76,25,daylight,rainy,False,True,afternoon,False,False,3,0.46
62194,rural,2,0.29,70,daylight,rainy,False,False,afternoon,True,False,N/A,0.38
62195,highway,3,0.26,45,dim,rainy,True,False,evening,True,True,0,0.19
62196,rural,1,0.28,45,night,rainy,False,False,evening,False,True,1,0.4
62197,rural,4,0.95,70,dim,clear,True,True,afternoon,True,False,1,0.5
62198,urban,1,0.98,35,dim,rainy,True,False,morning,False,True,3,0.4
62199,urban,1,0.31,35,daylight,rainy,True,True,evening,True,True,1,0.16
62200,rural,3,0.44,60,daylight,rainy,True,True,morning,True,False,2,0.45
62201,urban,1,0.65,25,dim,rainy,False,True,afternoon,False,False,2,0.28
62202,highway,4,0.2312,35,daylight,rainy,True,False,afternoon,False,False,0,0.14
62203,urban,1,0.0,35,dim,rainy,True,False,afternoon,False,True,3,0.08
62204,urban,4,0.68,35,night,foggy,False,False,afternoon,True,True,1,0.44
62205,highway,4,0.67,45,dim,foggy,False,True,evening,True,True,1,0.33
62206,urban,4,0.95,N/A,dim,foggy,False,True,morning,False,False,0,0.4
62207,rural,3,0.16,60,daylight,rainy,False,False,morning,True,True,N/A,0.36
62208,rural,4,0.56,60,night,foggy,True,True,evening,False,True,0,0.65
62209,urban,1,0.53,N/A,night,clear,True,False,morning,False,True,2,0.59
62210,rural,3,N/A,25,dim,clear,True,False,morning,False,False,0,0.24
62211,highway,1,0.72,25,night,clear,True,False,morning,False,False,1,0.48
62212,highway,2,0.88,25,dim,clear,False,False,morning,True,False,2,0.22
62213,rural,2,N/A,45,night,foggy,True,True,morning,True,True,2,0.33
62214,rural,1,0.53,N/A,daylight,rainy,True,False,evening,True,True,2,0.28
62215,rural,1,0.52,35,night,foggy,True,False,afternoon,False,True,2,0.46
62216,highway,3,N/A,45,night,clear,True,False,morning,True,False,1,0.23
62217,urban,4,0.32,45,night,foggy,False,True,afternoon,False,True,1,0.44
62218,highway,3,0.35,45,daylight,rainy,False,True,morning,True,False,0,0.15
62219,highway,4,N/A,25,night,foggy,True,False,evening,False,True,4,0.63
62220,highway,N/A,0.56,60,night,clear,True,False,evening,False,False,2,0.46
62221,urban,1,0.84,45,dim,foggy,True,True,evening,False,True,1,0.32
62222,rural,2,0.1,25,daylight,clear,False,False,evening,True,True,2,0.08
62223,urban,2,0.03,60,daylight,rainy,True,True,afternoon,False,True,1,0.35
62224,urban,4,0.65,60,night,rainy,True,True,afternoon,False,False,2,0.68
62225,highway,3,0.23,25,daylight,rainy,True,True,morning,False,False,1,0.16
62226,rural,3,0.14,25,daylight,rainy,True,False,afternoon,False,False,1,0.18
62227,rural,3,0.17,35,dim,foggy,False,False,evening,False,True,2,0.15
62228,highway,3,0.82,60,night,foggy,True,True,afternoon,True,False,1,0.73
62229,highway,1,0.95,25,dim,clear,False,False,evening,True,False,0,0.25
62230,urban,1,0.21,45,night,foggy,True,False,morning,True,False,1,0.28
62231,urban,1,N/A,25,dim,foggy,False,False,evening,False,True,1,0.38
62232,urban,4,0.63,45,daylight,rainy,True,True,afternoon,False,False,N/A,0.25
62233,highway,1,0.62,60,daylight,rainy,False,False,evening,True,False,2,0.46
62234,rural,1,0.87,60,dim,rainy,True,False,morning,True,True,N/A,0.5
62235,highway,1,0.71,45,daylight,clear,False,True,afternoon,False,True,0,0.21
62236,highway,4,0.14,25,daylight,foggy,False,False,evening,True,False,2,0.21
62237,urban,3,0.82,35,daylight,clear,False,False,evening,False,False,1,0.25
62238,urban,1,0.16,70,dim,rainy,True,False,afternoon,True,False,1,0.35
62239,highway,1,0.75,70,dim,rainy,False,False,morning,False,False,3,0.63
62240,rural,1,0.42,25,dim,clear,True,True,evening,False,False,2,0.15
62241,urban,4,0.65,70,dim,foggy,False,False,afternoon,True,True,1,0.46
62242,rural,1,0.69,45,night,clear,False,True,evening,False,False,2,0.49
62243,highway,1,0.15,35,dim,clear,True,False,evening,True,False,0,0.03
62244,rural,1,0.89,25,dim,clear,True,False,evening,True,True,2,0.21
62245,urban,4,0.94,25,daylight,clear,True,True,afternoon,False,False,3,0.43
62246,urban,N/A,0.05,60,night,foggy,False,True,evening,True,True,1,0.48
62247,urban,4,0.78,70,dim,foggy,False,False,morning,False,False,2,0.5
62248,rural,4,0.25,35,daylight,clear,True,False,afternoon,True,True,1,0.07
62249,rural,2,0.03,60,dim,foggy,False,False,morning,False,False,1,0.2
62250,highway,1,0.61,70,dim,clear,False,True,evening,False,True,2,0.42
62251,highway,2,0.56,60,night,foggy,True,False,afternoon,False,True,1,0.69
62252,urban,4,0.19,N/A,dim,clear,False,False,evening,True,False,2,0.01
62253,highway,3,0.4,25,night,foggy,False,False,afternoon,True,False,1,0.41
62254,highway,1,0.7,70,dim,clear,True,False,evening,True,True,1,0.34
62255,highway,3,0.49,N/A,daylight,clear,True,False,morning,True,True,1,0.15
62256,rural,4,0.61,60,night,clear,True,False,afternoon,False,False,1,0.53
62257,rural,3,0.74,35,daylight,clear,True,True,morning,False,False,0,0.19
62258,rural,1,0.4,35,daylight,rainy,True,True,evening,False,False,0,0.19
62259,urban,4,0.51,45,night,rainy,False,True,afternoon,False,True,1,0.41
62260,rural,3,0.08,70,dim,foggy,False,True,morning,False,True,2,0.33
62261,rural,2,0.8,70,dim,foggy,False,False,morning,True,False,0,0.56
62262,highway,1,0.82,60,night,clear,False,False,afternoon,True,False,0,0.76
62263,urban,4,0.08,35,dim,foggy,True,True,morning,True,True,1,0.01
62264,rural,2,0.07,45,night,rainy,False,False,afternoon,False,True,0,0.21
62265,urban,1,0.44,35,daylight,rainy,False,True,morning,False,False,2,0.25
62266,urban,N/A,0.13,45,daylight,rainy,False,False,morning,False,True,2,0.19
62267,rural,1,0.22,45,daylight,rainy,False,False,evening,False,False,1,0.11
62268,rural,2,N/A,60,dim,foggy,False,False,afternoon,True,True,2,0.38
62269,rural,1,0.83,25,dim,rainy,True,True,evening,True,False,0,0.37
62270,highway,1,0.52,45,dim,rainy,True,True,morning,True,True,1,0.24
62271,urban,4,0.37,25,night,foggy,False,False,morning,True,False,2,0.39
62272,urban,3,0.63,35,daylight,foggy,False,False,evening,True,False,2,0.32
62273,rural,4,0.38,45,dim,clear,True,True,morning,True,True,1,0.08
62274,urban,3,0.24,35,dim,foggy,True,True,afternoon,True,False,0,0.15
62275,highway,1,0.76,60,night,clear,True,True,afternoon,True,False,1,0.54
62276,rural,1,0.58,45,daylight,rainy,True,True,evening,False,True,1,0.29
62277,highway,4,0.87,45,dim,foggy,False,False,afternoon,True,False,1,0.33
62278,urban,2,0.66,60,daylight,foggy,False,False,afternoon,True,True,3,0.67
62279,rural,4,0.54,60,dim,clear,False,False,afternoon,True,True,1,0.36
62280,highway,1,N/A,45,daylight,rainy,True,False,morning,True,True,2,0.33
62281,highway,2,0.73,45,daylight,clear,True,False,morning,True,True,1,0.25
62282,highway,1,0.91,70,daylight,clear,False,False,evening,True,False,1,0.49
62283,urban,1,0.08,70,night,clear,False,True,evening,False,True,0,0.4
62284,rural,2,0.28,45,dim,rainy,True,True,morning,True,True,0,0.13
62285,urban,3,0.7,35,dim,foggy,False,False,evening,True,True,1,0.29
62286,urban,4,0.5,45,daylight,clear,False,False,afternoon,False,True,1,0.19
62287,rural,N/A,0.58,70,daylight,clear,True,True,afternoon,False,False,1,0.38
62288,highway,2,0.33,35,daylight,rainy,False,False,afternoon,True,True,1,0.18
62289,urban,2,0.69,25,night,clear,True,False,afternoon,False,True,1,0.4
62290,urban,2,0.49,25,daylight,rainy,True,True,afternoon,True,False,0,0.25
62291,rural,1,0.84,N/A,night,rainy,False,True,evening,True,False,1,0.54
62292,highway,1,0.14,60,dim,rainy,True,False,morning,True,True,2,0.36
62293,rural,2,0.05,35,night,clear,True,False,afternoon,False,True,N/A,0.18
62294,urban,N/A,0.76,25,night,foggy,True,True,afternoon,False,True,1,0.61
