id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
259000,rural,2,0.01,70,dim,rainy,True,False,morning,True,False,1,0.22
259001,urban,1,0.4,60,daylight,rainy,True,True,evening,False,False,1,0.41
259002,highway,2,0.44,45,daylight,rainy,True,False,morning,False,True,1,0.19
259003,urban,3,0.56,70,night,foggy,False,True,morning,True,True,1,0.52
259004,highway,2,0.65,500,daylight,foggy,False,False,evening,True,True,2,0.48
259005,urban,1,0.67,70,daylight,foggy,False,False,afternoon,True,False,2,0.56
259006,rural,2,0.18,35,dim,foggy,False,True,morning,True,False,1,0.12
259007,rural,1,0.25,35,dim,rainy,True,True,evening,True,False,2,0.18
259008,urban,3,0.55,25,night,foggy,False,True,morning,False,False,2,0.56
259009,urban,3,0.07,70,daylight,clear,True,False,afternoon,True,True,1,0.25
259010,urban,3,0.79,35,night,foggy,True,False,morning,True,True,3,0.62
259011,rural,3,0.07,35,dim,clear,True,False,afternoon,True,True,2,0.06
259012,rural,3,0.03,60,daylight,foggy,False,True,morning,False,False,1,0.36
259013,urban,3,0.02,70,daylight,clear,True,False,evening,True,True,0,0.18
259014,rural,2,0.4,45,dim,rainy,True,False,afternoon,False,True,1,0.25
259015,urban,1,0.57,35,night,rainy,False,False,morning,True,False,0,0.45
259016,urban,2,0.52,25,night,rainy,False,False,evening,True,False,3,0.49
259017,highway,4,0.49,70,daylight,clear,True,True,morning,False,True,0,0.33
259018,rural,2,0.32,60,daylight,clear,False,True,afternoon,True,True,1,0.2
259019,urban,2,0.67,70,night,foggy,True,False,afternoon,True,True,2,0.75
259020,highway,1,0.58,70,daylight,foggy,True,True,morning,False,True,1,0.48
259021,highway,2,0.91,45,dim,clear,True,True,evening,False,True,1,0.3
259022,urban,2,0.71,35,night,clear,False,False,morning,False,False,0,0.44
259023,rural,2,0.19,25,dim,clear,True,True,evening,True,False,0,0.12
259024,rural,3,0.63,60,daylight,rainy,False,False,evening,True,True,2,0.47
259025,highway,2,0.72,70,dim,clear,True,False,afternoon,False,False,2,0.36
259026,highway,4,0.56,70,dim,foggy,True,False,morning,False,False,0,0.36
259027,highway,4,0.24,35,dim,foggy,True,True,morning,False,True,1,0.19
259028,highway,2,0.9,60,daylight,foggy,False,False,evening,True,False,3,0.75
259029,urban,4,0.5,0,dim,clear,False,True,morning,True,True,1,0.09
259030,urban,4,0.31,70,daylight,clear,False,False,morning,False,True,2,0.39
259031,urban,2,0.81,45,night,clear,True,True,afternoon,True,False,1,0.44
