id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
469000,urban,4,0.32,60,daylight,rainy,True,False,evening,True,False,0,0.36
469001,urban,2,0.53,70,night,foggy,True,False,morning,True,False,2,0.66
469002,highway,4,0.36,70,daylight,clear,True,True,evening,True,False,1,0.25
469003,highway,1,0.78,35,night,clear,False,True,afternoon,True,True,3,0.52
469004,highway,4,0.37,25,daylight,foggy,False,True,afternoon,False,False,1,0.15
469005,rural,4,0.71,45,dim,clear,True,True,evening,True,False,0,0.36
469006,urban,3,0.74,70,daylight,foggy,True,False,afternoon,False,False,2,0.49
469007,urban,2,0.45,45,dim,clear,True,True,afternoon,False,True,1,0.11
469008,rural,2,0.49,45,daylight,foggy,True,True,evening,True,True,0,0.24
469009,highway,1,0.75,45,daylight,foggy,True,False,evening,True,True,2,0.32
469010,highway,2,0.94,45,dim,clear,False,True,evening,True,False,1,0.34
469011,highway,3,0.52,60,night,rainy,True,True,afternoon,True,True,1,0.63
469012,rural,1,0.8,70,dim,clear,True,False,afternoon,True,False,3,0.48
469013,urban,2,0.05,35,dim,rainy,False,False,evening,False,False,1,0.06
469014,highway,1,0.67,25,daylight,foggy,False,True,afternoon,True,True,2,0.29
469015,urban,3,0.66,0,dim,clear,False,True,morning,True,False,0,0.36
469016,rural,1,0.64,70,daylight,foggy,True,False,afternoon,False,True,3,0.59
469017,urban,2,0.83,35,night,clear,True,False,morning,False,True,2,0.39
469018,rural,1,0.37,70,night,foggy,False,False,morning,False,False,1,0.62
469019,rural,1,0.88,25,daylight,rainy,False,True,morning,True,False,1,0.39
469020,rural,2,0.59,25,night,foggy,False,False,afternoon,True,False,1,0.44
469021,rural,2,0.71,45,night,rainy,True,True,morning,False,True,1,0.41
469022,rural,4,0.01,25,dim,clear,False,True,afternoon,True,True,1,0.02
469023,rural,4,0.07,25,daylight,clear,True,True,afternoon,False,False,1,0.03
469024,rural,2,0.81,45,daylight,rainy,False,False,evening,True,True,2,0.35
469025,urban,2,0.25,25,night,foggy,True,True,evening,True,False,0,0.32
469026,rural,4,0.18,45,dim,rainy,True,True,evening,False,True,1,0.17
469027,rural,1,0.32,45,night,clear,False,False,morning,False,True,2,0.3
469028,highway,1,0.05,45,daylight,clear,True,True,afternoon,False,True,0,0.05
469029,urban,4,0.43,25,daylight,rainy,False,False,afternoon,True,False,0,0.35
469030,highway,2,0.43,25,night,foggy,True,True,evening,False,True,0,0.41
469031,urban,2,0.68,60,night,clear,True,True,evening,True,False,2,0.41
469032,rural,3,0.07,45,daylight,rainy,False,True,morning,False,True,1,0.13
469033,rural,2,0.79,35,daylight,rainy,True,True,afternoon,False,True,0,0.3
469034,highway,2,0.66,-50,dim,clear,False,False,morning,True,False,2,0.14
469035,highway,2,0.63,70,night,rainy,True,True,evening,False,True,3,0.7
469036,urban,2,0.65,45,daylight,rainy,False,True,morning,False,False,2,0.34
469037,rural,1,0.79,60,night,foggy,False,False,evening,True,False,2,0.73
469038,highway,4,0.17,60,dim,clear,True,False,evening,True,False,0,0.2
469039,rural,2,0.57,60,night,foggy,False,True,morning,False,False,3,0.75
469040,urban,1,0.33,70,dim,rainy,False,False,evening,True,False,1,0.46
469041,urban,2,0.35,-50,daylight,foggy,False,False,afternoon,True,False,1,0.47
469042,rural,3,0.63,60,daylight,foggy,False,True,afternoon,True,True,1,0.54
469043,rural,3,0.73,35,dim,clear,False,False,evening,False,True,1,0.28
469044,rural,3,0.33,500,night,clear,False,True,morning,True,True,1,0.65
469045,rural,1,0.62,70,daylight,foggy,False,False,evening,True,False,1,0.54
469046,highway,4,0.43,70,night,clear,True,True,morning,False,False,1,0.44
469047,rural,4,0.83,45,night,foggy,False,False,morning,True,True,0,0.54
469048,rural,3,0.69,45,night,rainy,True,False,afternoon,True,False,1,0.59
469049,rural,2,0.93,500,daylight,clear,False,False,evening,True,False,1,0.48
469050,urban,1,0.67,45,dim,rainy,True,False,evening,False,True,3,0.49
469051,rural,3,0.63,45,dim,clear,False,False,morning,False,False,2,0.21
469052,rural,4,0.55,-50,night,foggy,False,False,afternoon,True,False,1,0.45
469053,highway,1,0.36,45,daylight,clear,False,False,afternoon,False,False,1,0.14
469054,rural,2,0.7,60,dim,rainy,True,False,evening,True,False,0,0.61
469055,highway,1,0.56,45,night,foggy,True,True,evening,False,True,0,0.45
469056,rural,3,0.75,60,daylight,rainy,True,True,evening,True,True,0,0.52
469057,urban,1,0.42,35,dim,rainy,False,False,afternoon,False,False,2,0.19
469058,urban,4,0.05,70,daylight,rainy,False,False,evening,False,True,0,0.22
469059,highway,4,0.36,60,daylight,rainy,True,True,morning,False,False,1,0.42
469060,highway,2,0.49,45,daylight,rainy,False,True,evening,True,False,1,0.25
469061,urban,2,0.54,60,night,clear,False,False,morning,False,True,1,0.43
469062,highway,1,0.29,25,night,clear,False,False,evening,False,True,2,0.22
469063,highway,2,0.21,0,night,foggy,False,True,afternoon,False,False,1,0.39
469064,highway,1,0.99,60,daylight,foggy,False,True,evening,True,True,2,0.61
469065,highway,4,0.55,25,night,foggy,True,False,evening,False,False,0,0.49
469066,highway,2,0.76,70,night,clear,True,True,morning,True,False,1,0.68
469067,rural,3,0.49,35,dim,rainy,True,False,morning,False,False,1,0.25
469068,highway,2,0.43,-50,dim,rainy,False,True,evening,False,True,1,0.37
469069,highway,1,0.76,25,daylight,foggy,True,False,evening,False,True,3,0.48
469070,highway,4,0.14,-50,night,clear,True,True,afternoon,False,False,2,0.24
469071,highway,4,0.54,35,dim,clear,True,True,evening,False,True,1,0.18
469072,rural,3,0.33,25,night,clear,False,True,afternoon,False,True,1,0.33
469073,urban,3,0.98,35,dim,clear,True,True,afternoon,True,True,0,0.26
469074,urban,2,0.18,25,night,rainy,True,True,evening,False,False,1,0.33
469075,highway,3,0.57,-50,dim,rainy,False,False,afternoon,True,True,3,0.58
469076,highway,2,0.57,70,dim,clear,False,True,morning,True,False,2,0.46
469077,urban,1,0.28,35,daylight,rainy,False,True,morning,False,True,1,0.18
469078,highway,4,0.07,35,night,rainy,False,True,morning,True,True,2,0.31
469079,rural,1,0.93,25,daylight,clear,True,False,morning,True,False,1,0.32
469080,rural,1,0.67,35,night,rainy,True,True,afternoon,False,False,3,0.58
469081,urban,4,0.76,70,daylight,clear,True,True,morning,False,False,3,0.44
469082,rural,1,0.24,70,daylight,clear,False,True,morning,True,True,0,0.3
469083,rural,3,0.37,25,dim,clear,False,True,afternoon,True,False,1,0.02
469084,highway,1,0.65,45,daylight,rainy,True,False,morning,False,False,1,0.28
469085,urban,2,0.83,45,night,rainy,True,False,afternoon,True,False,1,0.51
469086,highway,2,0.53,70,daylight,foggy,True,False,afternoon,True,False,0,0.44
469087,rural,1,0.03,45,dim,rainy,False,True,evening,False,True,0,0.21
469088,highway,2,0.65,60,dim,foggy,False,False,morning,False,True,1,0.57
469089,urban,1,0.34,45,dim,clear,False,False,morning,False,True,0,0.05
469090,highway,4,0.4,45,night,foggy,False,True,afternoon,False,True,2,0.37
469091,highway,3,0.29,70,daylight,clear,False,False,afternoon,True,True,1,0.26
469092,highway,1,0.52,70,daylight,rainy,True,False,evening,False,True,3,0.58
469093,urban,1,0.94,35,daylight,clear,True,True,evening,False,False,3,0.43
469094,rural,1,0.01,25,night,clear,True,False,morning,False,True,1,0.27
469095,highway,2,0.56,70,dim,foggy,False,False,afternoon,False,True,2,0.5
469096,rural,3,0.84,-50,dim,foggy,True,True,morning,True,False,0,0.32
469097,urban,3,0.47,45,night,foggy,True,False,evening,False,False,0,0.43
469098,urban,4,0.79,35,night,rainy,True,False,evening,True,True,3,0.74
469099,urban,4,0.33,-50,dim,rainy,False,True,evening,False,False,1,0.14
469100,rural,1,0.81,25,daylight,foggy,True,False,afternoon,False,False,2,0.35
469101,highway,1,0.24,0,dim,rainy,True,True,afternoon,False,False,2,0.18
469102,highway,2,0.74,35,night,rainy,True,True,evening,True,False,1,0.49
469103,highway,4,0.56,70,daylight,foggy,False,True,evening,False,False,2,0.42
469104,urban,3,0.66,70,night,clear,True,True,afternoon,True,False,0,0.5
469105,rural,1,0.99,60,dim,foggy,True,False,morning,True,False,2,0.56
469106,urban,2,0.1,45,dim,clear,True,False,morning,False,False,2,0.08
469107,rural,3,0.31,25,night,rainy,True,False,morning,False,False,1,0.32
469108,urban,2,0.66,45,dim,clear,False,False,evening,False,False,1,0.23
469109,urban,1,0.41,45,daylight,clear,False,False,evening,False,True,0,0.11
469110,rural,4,0.19,70,daylight,clear,True,False,evening,False,True,1,0.22
